,County,Squared Area,Licensed Drivers,Population,Teenagers ,65 or older,Car Accidents,Injuries,Alcohol Related Injuries,Speed related Injuries,Unrestrained related Injuries,Year,I-81,I-95,Fatalities,avgRain,avgSnow,countyElevation
89,"Warren, VA",216.35,23158,39563,2453,6141,587,265,27,59,16,2017,No,No,6,40.3,21.9,906
90,"Washington, VA",567.59,36010,54387,3281,12034,1013,521,33,208,40,2017,Yes,No,8,43.3,11.8,2160
91,"Westmoreland, VA",252.65,12278,17780,855,4423,175,85,13,23,8,2017,No,No,2,42.3,15.6,65
92,"Wise, VA",404.56,24847,38586,2397,6757,451,223,17,56,36,2017,No,No,1,50.8,13.1,2298
93,"Wythe, VA",464.63,17100,28882,1595,6095,553,251,26,68,19,2017,Yes,No,10,43,13.9,2469
94,"York, VA",215.5,46144,67739,4683,10564,1101,504,31,107,18,2017,No,No,5,47.1,4.8,35
95,"Alexandria, VA",15.38,145994,160035,5454,17715,1441,576,53,130,16,2017,No,Yes,4,32.04330657,10.41879699,667.6315789
96,"Bristol, VA",11.59,12650,16790,928,3507,414,170,14,37,6,2017,Yes,No,0,32.16799654,10.4617248,670.1452315
97,"Buena Vista, VA",6.83,4240,6327,543,1206,1,0,0,0,0,2017,No,No,0,32.29315702,10.50481399,672.6683339
98,"Charlottesville, VA",10.26,35350,48019,2597,5394,535,253,22,29,9,2017,No,No,0,32.4187898,10.54806517,675.2009216
99,"Chesapeake, VA",350.92,167736,240397,16076,30830,2377,1838,99,323,70,2017,No,No,19,32.54489666,10.59147895,677.7430303
100,"Colonial Heights, VA",7.79,13900,17830,1090,3524,395,186,3,26,6,2017,No,Yes,1,32.67147938,10.63505594,680.2946959
101,"Covington, VA",4.44,4284,5531,313,1200,107,44,7,6,3,2017,No,No,0,32.79853977,10.67879675,682.8559541
102,"Danville, VA",43.94,27049,41130,2516,8428,962,604,27,89,23,2017,No,No,4,32.92607963,10.722702,685.4268412
103,"Emporia, VA",6.96,3607,5282,346,1022,130,41,2,7,0,2017,No,Yes,0,33.05410076,10.76677231,688.0073932
104,"Fairfax, VA",6.16,28489,24097,1237,3512,596,242,17,26,7,2017,No,Yes,0,41.6,21.6,266
105,"Falls Church, VA",2,28348,14583,864,1848,121,177,11,31,1,2017,No,No,0,33.18260499,10.8110083,690.5976465
106,"Franklin, VA",7.72,6059,8176,468,1582,90,76,5,13,10,2017,No,No,0,44.9,17.7,1200
107,"Fredericksburg, VA",10.52,34306,28360,2593,3087,994,992,65,154,26,2017,No,Yes,2,33.31159413,10.85541058,693.1976377
108,"Galax, VA",8.07,4634,6625,410,1388,139,57,0,11,4,2017,No,No,0,33.44107001,10.8999798,695.8074033
109,"Hampton, VA",128.56,89339,134669,9024,20276,3108,2477,103,298,51,2017,No,No,8,33.57103447,10.94471656,698.42698
110,"Harrisonburg, VA",17.59,25374,54215,7509,4988,1047,339,14,38,16,2017,No,No,1,33.70148936,10.98962151,701.0564047
111,"Hopewell, VA",10.72,15058,22621,1379,3482,395,524,28,65,29,2017,No,No,0,33.83243653,11.03469528,703.6957145
112,"Lexington, VA",2.49,3702,7106,1442,1157,61,10,1,1,0,2017,No,No,0,33.96387783,11.07993849,706.3449465
113,"Lynchburg, VA",49.77,49438,80995,8518,11669,1170,771,40,19,23,2017,No,No,2,34.09581513,11.12535179,709.004138
114,"Manassas, VA",10.03,39358,41501,2509,3994,573,711,33,102,5,2017,No,No,2,34.22825029,11.17093582,711.6733265
115,"Manassas Park, VA",1.83,9761,16591,1172,1291,55,26,5,9,0,2017,No,No,0,34.36118521,11.21669122,714.3525495
116,"Martinsville, VA",11.01,9624,13142,733,2524,228,58,3,10,2,2017,No,No,0,34.49462176,11.26261863,717.0418448
117,"Newport News, VA",119.03,114897,179388,12177,22672,3491,2105,143,313,70,2017,No,No,16,34.62856183,11.3087187,719.7412503
118,"Norfolk, VA",96.3,128199,244703,15546,26519,4199,2298,138,556,73,2017,No,No,20,34.76300734,11.35499208,722.4508038
119,"Norton, VA",7.26,2530,3936,224,733,52,20,1,6,1,2017,No,No,0,34.89796017,11.40143942,725.1705437
120,"Petersburg, VA",23.22,20405,31750,1591,5252,733,577,34,101,37,2017,No,Yes,2,35.03342226,11.44806137,727.9005082
121,"Poquoson, VA",78.43,9381,12053,818,2321,78,39,4,3,3,2017,No,No,0,35.16939552,11.4948586,730.6407356
